age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43,3,82095,13,11,2,3,4,4,1,37777,1696,28,39,0
34,3,228297,7,8,2,2,1,4,1,64559,1826,44,39,1
27,3,102109,14,11,2,11,3,4,0,9003,1339,43,39,1
25,3,182001,15,13,4,10,0,4,1,25408,2107,32,33,0
69,3,154058,9,9,2,5,2,4,1,408,2312,35,31,1
30,1,130433,15,14,2,12,1,4,1,301,2260,45,35,3
64,3,57814,14,6,4,6,0,4,1,29719,1854,38,39,1
22,3,21456,11,6,2,4,1,4,0,5860,2358,52,35,1
24,3,44171,6,12,4,12,0,4,0,11735,2370,57,36,2
42,3,536483,13,6,2,10,0,4,0,1779,2038,42,33,1
34,3,44932,13,13,4,0,1,4,0,54099,2066,69,34,3
18,3,406715,11,8,4,10,0,4,1,283,2232,33,32,0
70,0,169766,14,16,2,10,0,4,0,79029,2285,66,39,3
27,3,267358,15,15,2,4,3,3,1,97764,1484,34,34,2
28,3,225211,0,6,2,5,1,4,0,221,1518,35,32,1
21,6,133744,14,7,4,1,5,4,0,39180,1711,45,34,0
30,3,73357,15,8,2,12,4,4,0,264,1454,38,31,0
46,3,391672,10,5,2,0,1,4,0,100,2180,47,37,0
24,3,204842,15,10,4,12,1,4,0,17321,1430,34,37,1
31,0,112230,15,12,2,5,0,2,1,10027,2177,37,39,0
47,3,120956,6,9,2,12,0,4,1,7795,1767,57,38,0
26,3,66365,13,16,2,11,0,4,0,75120,2050,48,34,0
35,0,158247,3,12,4,8,0,4,1,84030,1941,39,31,0
19,3,335849,11,11,2,1,0,4,1,82536,2327,24,39,0
34,3,183168,15,8,4,1,0,4,0,29855,1594,32,39,0
52,3,100023,15,12,2,3,0,4,0,11412,1429,28,39,0
27,5,263373,15,6,2,3,4,4,1,9025,2309,26,39,0
20,3,217436,5,7,2,3,1,4,0,3871,2294,38,37,0
22,3,523392,10,10,0,6,1,4,1,27830,917,41,37,0
29,4,154643,4,11,2,10,0,4,1,94,1975,56,39,3
53,3,104614,15,3,0,12,1,4,0,57089,2364,52,34,0
61,3,135487,15,13,4,6,0,4,1,30755,1762,53,34,2
25,3,369581,9,9,4,5,0,4,1,9,1410,51,32,0
52,4,207232,15,14,2,13,0,4,1,34339,2190,47,33,0
30,3,118653,15,9,4,5,0,2,0,1531,2249,16,39,1
31,3,134987,15,12,2,7,0,4,1,35266,858,56,39,0
31,1,135254,15,10,2,13,0,4,1,77448,1520,45,39,0
23,4,143641,15,9,4,3,1,4,1,36702,1503,40,29,0
58,5,154378,11,13,4,0,0,1,0,10733,1687,30,35,2
41,3,195672,13,12,3,0,0,4,0,5167,1468,41,39,0
20,3,94483,7,9,4,8,0,2,0,41366,1598,29,31,1
52,4,298646,13,7,4,0,5,4,1,3757,2021,30,39,0
34,3,38597,13,14,4,4,0,4,1,29033,2373,49,35,3
32,3,158295,1,10,2,4,0,4,1,7951,2292,51,39,2
21,3,280907,8,9,4,11,3,4,0,227,1917,29,39,1
31,3,94383,12,13,4,4,1,4,1,29668,1650,41,32,0
24,3,114768,8,13,4,10,1,4,0,17097,2413,40,39,2
35,3,165478,10,11,2,1,0,4,1,20312,2311,53,39,0
44,1,233063,0,13,4,1,3,4,0,4737,2232,47,39,0
69,5,81160,7,12,2,12,0,4,0,973,2354,46,39,0
24,3,291897,15,8,6,12,1,4,0,7791,2278,33,35,1
48,3,56922,14,13,2,5,1,4,1,70878,1254,32,36,0
55,4,95794,1,10,2,3,0,1,1,6017,1570,16,39,1
21,1,35338,12,11,4,1,2,4,1,59211,2211,53,39,0
30,5,268295,15,11,0,10,0,4,1,15914,2250,45,39,2
29,3,182009,9,13,2,1,0,4,1,20889,1078,26,37,0
34,3,217155,15,13,2,3,0,4,1,75500,1987,48,27,0
42,4,49035,14,16,2,8,4,4,1,5327,1996,64,36,3
19,3,165317,15,12,2,12,3,4,1,5632,886,48,33,0
24,4,158446,8,9,4,0,3,4,1,1712,1901,41,39,2
59,3,112796,15,9,2,10,3,4,1,10221,2243,42,39,0
45,3,165818,15,11,2,9,4,2,1,84295,993,33,33,0
63,1,90674,10,8,2,1,4,4,1,4923,1800,52,35,0
38,3,159612,2,6,4,4,0,4,0,90813,2220,34,26,0
54,3,174329,1,8,2,4,0,4,1,41792,1582,26,37,0
67,3,84398,15,9,2,11,3,4,1,61562,960,48,39,1
42,3,251536,2,11,2,10,3,4,0,48383,2266,35,39,0
55,6,328264,15,10,0,8,0,4,0,73257,1415,33,38,1
61,4,71765,13,13,2,6,0,4,1,68839,2070,42,35,0
24,0,155031,14,9,2,10,4,4,0,542,1887,52,39,2
17,1,103353,15,8,4,3,3,4,1,0,1683,26,39,0
51,3,285987,14,9,2,8,0,4,1,98663,2043,50,38,0
54,3,207533,10,12,2,13,1,4,1,64819,2062,38,39,1
54,3,47439,14,8,2,4,0,4,0,1,1555,33,34,0
44,3,243853,13,7,2,4,0,2,1,15,1230,31,39,1
42,3,190194,11,4,2,12,1,4,1,373,1285,27,36,1
49,3,149828,14,9,4,6,1,4,1,58502,1343,49,31,0
66,6,40450,4,13,0,5,0,4,1,84532,1500,55,34,0
64,3,185722,13,13,2,4,3,4,1,7465,2250,37,36,0
24,3,318474,15,5,0,7,4,4,1,6443,2118,53,35,2
52,3,270269,14,7,2,13,1,4,0,5369,2250,22,39,0
50,5,128700,0,14,4,9,3,4,1,98689,1520,31,25,3
36,3,313977,6,11,2,2,3,4,0,4,970,22,37,1
66,6,215146,9,10,0,12,0,4,1,32290,1833,49,37,0
