age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
18,3,263024,11,9,4,11,3,4,0,0,0,40,38,0
41,3,121201,11,9,2,13,0,4,1,0,0,40,38,0
47,3,264052,15,10,2,9,0,4,1,0,0,50,38,1
18,5,132986,11,9,4,4,3,4,1,0,0,40,38,0
31,3,78602,7,12,0,7,4,0,0,0,0,40,38,0
30,3,37210,8,11,2,2,0,4,1,0,0,40,38,0
41,3,179533,11,9,2,13,0,4,1,0,0,35,38,0
27,5,65308,11,9,2,4,0,4,1,0,0,50,38,0
61,3,197286,9,13,2,6,0,4,1,0,0,40,38,1
25,3,185942,12,14,4,9,3,4,0,0,0,40,38,1
22,3,124454,15,10,4,11,1,4,1,0,0,30,38,0
37,3,155064,8,11,0,9,4,4,0,0,0,40,38,0
24,3,194829,11,9,2,2,0,4,1,0,0,45,38,1
45,3,166056,11,9,0,7,4,4,0,0,0,40,38,0
54,3,320012,15,10,2,0,5,4,0,0,0,40,38,0
30,5,404062,11,9,2,9,0,4,1,0,1977,15,38,1
23,3,42706,15,10,4,9,1,4,1,0,0,45,38,0
32,3,242654,15,10,0,11,4,2,0,0,1138,40,15,0
46,5,182541,11,9,2,4,0,4,1,0,1672,50,38,0
30,3,45781,11,9,4,0,4,4,0,0,0,40,38,0
25,3,356017,1,7,4,7,1,4,1,0,0,99,38,0
53,6,156877,11,9,2,0,0,4,1,15024,0,35,38,1
60,4,142494,0,6,2,2,0,4,1,0,0,40,38,0
23,3,103064,9,13,4,9,1,4,0,0,0,40,38,0
36,3,115834,8,11,2,3,5,4,0,7298,0,55,38,1
48,5,100931,15,10,4,0,1,4,1,0,0,40,38,0
81,3,147097,9,13,6,9,1,4,1,0,0,5,38,0
36,3,255454,11,9,4,2,3,2,1,0,0,30,38,0
47,1,149700,12,14,2,9,0,4,1,15024,0,35,38,1
32,3,191777,12,14,4,0,1,2,0,0,0,40,38,0
52,3,259363,11,9,2,2,0,4,1,0,0,50,38,1
24,3,192812,12,14,4,9,3,4,0,0,0,40,38,0
28,3,179949,11,9,0,13,4,2,0,0,0,20,38,0
69,3,512992,1,7,2,9,0,2,1,0,0,45,38,0
30,3,61272,6,5,2,6,5,4,0,0,0,40,31,0
50,3,121411,2,8,0,13,1,4,1,0,0,40,38,0
22,3,165065,15,10,4,9,3,4,0,0,0,40,21,0
21,1,38771,15,10,4,0,3,4,1,0,0,40,38,0
46,3,503923,11,9,2,6,0,2,1,4386,0,40,38,1
36,3,605502,0,6,4,13,1,2,0,0,0,40,38,0
33,3,251117,4,3,2,6,0,4,1,0,0,40,25,0
32,0,164707,11,9,2,0,5,4,0,0,0,40,38,1
42,1,267252,12,14,5,3,4,2,1,0,0,45,38,1
33,6,292317,6,5,2,4,0,4,1,0,0,40,38,0
34,4,200689,9,13,0,11,4,4,0,0,0,40,38,0
53,1,321770,11,9,3,13,2,4,0,0,0,35,38,0
67,1,197816,11,9,2,9,0,4,1,0,0,24,38,0
57,0,414994,15,10,2,3,0,4,1,0,0,40,38,1
38,3,131461,6,5,2,7,5,2,0,0,0,24,13,0
49,1,192349,12,14,4,9,1,4,0,4650,0,40,38,0
40,3,98211,11,9,2,2,0,4,1,0,0,40,38,1
43,3,200355,11,9,2,13,0,4,1,0,0,70,38,1
41,0,27444,15,10,2,3,0,4,1,0,0,40,38,1
50,3,182907,11,9,4,5,3,4,1,0,0,25,38,0
30,4,185384,15,10,2,3,5,4,0,0,0,25,38,0
48,3,250733,15,10,2,2,0,4,1,0,0,50,38,0
23,3,180475,15,10,4,3,1,4,1,0,0,40,38,0
32,3,238944,11,9,2,6,0,4,1,0,0,40,38,0
24,3,43535,15,10,2,9,5,4,0,0,0,30,38,0
23,3,244413,2,8,2,2,0,2,1,0,0,30,6,0
32,3,107793,11,9,0,7,3,4,1,2174,0,40,38,0
25,3,242464,9,13,4,0,1,4,1,0,0,40,38,0
20,3,245297,15,10,4,7,1,4,0,0,0,35,38,0
23,3,196827,15,10,2,6,0,4,1,0,1902,40,38,0
31,3,243678,9,13,4,3,1,4,0,0,0,40,38,0
29,3,55390,7,12,4,12,1,4,1,0,0,45,38,0
26,3,154966,15,10,2,11,0,4,1,0,0,50,38,1
66,3,169435,11,9,6,2,1,4,1,0,0,16,38,0
20,3,163870,11,9,4,4,3,4,1,0,0,40,38,0
35,5,157473,11,9,2,2,0,4,1,0,0,40,38,0
38,1,84570,15,10,4,0,3,0,0,0,0,40,38,0
29,3,241895,11,9,2,13,2,4,1,0,0,40,38,0
38,3,197113,15,10,0,0,4,2,0,0,0,20,38,0
31,4,83748,15,10,2,3,5,1,0,0,0,70,34,0
44,3,197033,11,9,2,0,0,4,1,0,0,40,38,0
32,3,309903,0,6,4,7,4,4,0,0,0,25,38,0
39,6,152023,1,7,2,2,0,4,1,0,0,40,38,0
47,0,114222,7,12,2,0,0,4,1,0,0,55,38,1
23,3,122244,15,10,4,12,3,4,0,0,0,40,38,0
41,3,99870,9,13,2,11,0,4,1,0,0,55,38,0
45,3,214627,10,16,6,9,4,4,1,15020,0,40,19,1
59,3,118479,9,13,2,9,0,1,1,0,0,40,2,0
32,3,367904,0,6,0,6,1,4,0,0,0,40,25,0
72,3,181494,11,9,6,7,4,4,0,0,0,25,38,0
26,1,189027,11,9,2,13,0,4,1,0,0,40,38,0
31,1,33124,9,13,4,9,1,4,0,0,0,50,38,0
38,3,34378,5,4,2,2,0,4,1,0,0,40,38,0
44,3,112847,5,4,2,2,0,1,1,0,0,40,29,0
48,3,164964,11,9,2,6,0,4,1,0,0,40,38,0
61,3,394534,11,9,2,9,0,2,1,0,0,6,38,0
24,3,192017,15,10,2,5,0,4,1,0,0,30,38,0
19,3,91278,15,10,4,9,3,4,1,0,0,25,38,0
28,5,107458,11,9,4,2,3,4,1,0,0,45,38,0
32,3,107142,8,11,2,2,0,4,1,5013,0,50,38,0
35,3,304001,15,10,2,2,0,4,1,0,0,40,38,0
37,3,292370,9,13,2,9,0,3,1,0,0,50,38,1
66,3,314347,11,9,2,9,0,2,1,0,0,40,38,0
40,6,199381,12,14,2,9,5,4,0,15024,0,37,38,1
49,1,199862,11,9,2,6,0,4,1,0,2179,40,38,0
25,1,225193,9,13,4,9,1,2,0,0,0,40,38,0
27,3,106758,11,9,0,0,4,4,0,0,0,45,38,0
37,5,227253,13,1,2,11,0,4,1,0,0,30,25,0
24,3,112854,15,10,4,12,1,4,0,0,0,16,38,0
26,3,143068,15,10,2,3,0,4,1,2407,0,50,38,0
18,2,153663,15,10,4,9,3,4,1,0,0,4,38,0
19,3,138564,11,9,4,9,3,4,0,0,0,8,38,0
29,3,129856,8,11,4,0,3,4,0,0,0,40,38,0
45,3,289353,11,9,2,13,0,2,1,0,0,24,38,0
23,3,119838,9,13,4,9,3,4,1,0,0,50,38,0
42,6,218948,10,16,0,9,4,2,0,0,0,36,22,0
26,3,258768,15,10,4,13,1,2,1,2174,0,75,38,0
26,3,177929,9,13,4,11,1,4,1,0,0,48,38,0
49,3,198774,9,13,0,11,2,4,0,0,0,35,38,0
38,3,87556,9,13,2,3,0,4,1,7688,0,55,38,1
20,3,168165,15,10,4,7,3,4,1,0,0,30,38,0
68,3,339168,9,13,2,13,0,4,1,0,0,30,38,0
48,3,355890,9,13,2,9,0,4,1,0,0,55,38,1
47,5,152752,4,3,2,13,0,4,1,0,0,20,38,0
29,3,149324,15,10,2,2,0,4,1,0,1485,40,38,1
57,3,176079,12,14,0,9,1,4,0,0,0,40,38,0
37,5,202683,11,9,2,9,0,4,1,0,0,40,38,0
43,3,206139,9,13,2,9,0,4,1,0,0,50,38,1
26,3,304283,11,9,2,6,0,4,1,0,0,40,38,0
44,3,174373,7,12,2,2,0,4,1,0,0,40,38,1
35,3,117381,9,13,4,3,1,4,1,8614,0,45,38,1
20,3,188409,15,10,4,13,1,4,1,0,0,60,38,0
34,3,199539,11,9,2,2,0,4,1,0,0,48,38,1
37,3,220237,9,13,2,3,0,4,1,5178,0,40,38,1
47,3,244025,11,9,4,6,4,0,1,0,0,56,32,0
28,3,226089,0,6,4,6,4,4,0,0,0,40,38,0
37,3,219141,1,7,2,5,0,2,1,7688,0,40,38,1
24,3,131230,15,10,4,9,1,4,1,0,0,40,38,0
35,3,225172,11,9,2,3,0,4,1,0,0,60,38,1
39,3,194404,12,14,2,9,0,4,1,7688,0,40,38,1
35,3,287658,7,12,4,13,1,2,1,0,0,30,22,0
25,3,182227,15,10,4,0,1,4,1,0,0,30,38,0
53,3,95864,10,16,2,9,0,4,1,15024,0,50,8,1
90,1,187749,7,12,2,0,0,1,1,0,0,20,29,0
29,3,221977,15,10,2,0,5,4,0,0,0,40,38,1
45,3,347321,11,9,4,2,1,4,1,0,0,40,38,0
54,3,215990,15,10,2,12,0,4,1,7688,0,40,38,1
42,5,178780,12,14,2,3,0,4,1,0,0,50,38,1
62,3,198170,12,14,2,9,0,4,1,0,0,4,38,0
18,3,209735,15,10,4,9,3,4,0,0,0,30,38,0
38,3,219446,6,5,3,3,1,4,1,0,0,54,25,0
56,1,391926,11,9,2,3,0,4,1,0,0,40,38,0
55,3,118993,15,10,5,3,4,4,0,0,0,10,38,0
39,3,103986,11,9,4,9,1,4,1,0,1590,40,38,0
30,3,361280,9,13,4,9,1,1,1,0,0,40,38,0
30,3,398827,11,9,1,0,0,4,1,0,0,60,38,0
46,6,192323,11,9,0,3,1,4,1,0,0,40,38,0
48,3,304791,15,10,6,0,1,4,0,0,0,40,38,0
19,3,25429,2,8,4,7,3,4,0,0,0,20,38,0
67,3,366425,10,16,0,3,1,4,1,99999,0,60,38,1
21,3,219086,11,9,4,7,3,4,1,0,0,35,38,0
36,3,111128,9,13,2,9,0,4,1,0,0,48,38,1
32,5,190290,11,9,2,4,0,4,1,0,0,40,21,0
22,4,437161,11,9,4,0,4,2,0,0,0,40,38,0
44,5,182771,9,13,2,3,0,1,1,0,0,48,34,1
38,3,216572,11,9,5,8,4,2,0,0,0,40,38,0
45,3,187370,12,14,0,3,4,4,1,7430,0,70,38,1
51,3,179010,15,10,0,11,1,4,0,0,0,60,38,0
42,3,153132,9,13,0,11,4,4,1,0,0,45,38,0
18,3,110142,11,9,4,11,3,4,0,0,0,40,38,0
26,3,242464,8,11,4,3,1,4,1,0,0,50,38,0
27,5,206889,15,10,2,4,0,4,1,0,0,50,38,0
27,3,188711,15,10,0,9,1,4,1,0,0,30,38,0
48,3,55720,15,10,2,13,0,4,1,2407,0,40,38,0
40,3,353142,15,10,0,6,4,2,0,0,0,40,38,0
22,6,34310,15,10,4,13,3,4,1,0,0,25,38,0
25,3,227548,2,8,2,7,0,2,1,3103,0,40,38,0
50,6,139157,12,14,0,9,1,4,1,0,0,60,38,1
37,3,202027,12,14,2,0,0,4,1,7688,0,50,38,1
49,3,332355,11,9,2,3,0,4,1,0,0,40,38,0
41,3,306405,15,10,2,12,5,4,0,0,0,40,38,0
39,3,113481,9,13,2,3,0,4,1,0,0,45,38,1
81,5,108604,0,6,2,4,0,4,1,0,0,45,38,0
35,3,257042,15,10,2,9,0,4,1,0,0,50,38,0
41,6,110556,12,14,2,3,5,2,0,0,0,40,38,0
20,3,257509,11,9,4,2,3,4,1,0,0,40,38,0
52,4,134854,11,9,2,3,0,4,1,0,0,40,38,1
45,3,329603,10,16,2,9,0,4,1,0,0,40,30,1
67,6,121395,9,13,2,9,0,1,1,0,0,12,38,0
31,3,150309,10,16,2,9,5,4,0,0,0,90,38,0
58,1,215245,9,13,4,9,1,4,0,0,0,37,38,0
34,5,319165,10,16,2,9,0,4,1,0,0,50,38,1
19,3,560804,15,10,4,0,3,4,0,0,0,30,38,0
55,3,176904,0,6,2,13,0,4,1,0,0,50,38,0
52,3,196894,1,7,5,5,4,4,1,0,0,40,38,0
34,3,209101,9,13,2,3,0,4,1,5178,0,55,38,1
40,3,346847,8,11,5,9,2,4,0,0,0,40,38,0
35,3,343403,15,10,4,11,1,4,0,0,0,40,38,0
43,3,184099,7,12,2,13,0,4,1,0,0,40,38,0
26,1,197430,9,13,4,9,1,4,0,0,0,50,38,0
28,3,182344,11,9,4,7,1,2,1,0,0,40,38,0
30,3,164802,9,13,4,3,1,3,0,8614,0,40,18,1
42,3,194537,11,9,0,6,4,4,0,0,0,40,38,0
18,3,186954,1,7,4,7,3,4,0,0,0,20,38,0
28,3,232782,15,10,4,0,1,4,0,0,0,40,38,0
25,3,281627,12,14,4,9,1,4,0,0,0,40,38,0
55,4,183884,11,9,2,3,0,4,1,0,0,50,38,1
49,3,195554,11,9,2,13,0,4,1,0,0,44,38,0
34,3,248754,1,7,4,6,1,4,1,0,0,40,38,0
31,3,247328,1,7,2,10,0,4,1,0,0,40,38,0
72,3,284080,3,2,0,7,1,2,1,0,0,40,38,0
21,3,415755,15,10,4,7,3,4,1,0,0,40,38,0
19,3,91928,15,10,4,7,2,4,0,0,0,35,38,0
49,3,195956,9,13,0,12,4,4,0,0,0,35,38,0
55,3,377061,9,13,2,10,0,4,1,0,0,40,38,1
47,3,63225,3,2,0,7,1,4,0,0,0,15,38,0
19,3,243942,15,10,4,6,1,4,1,0,0,40,38,0
54,3,338089,12,14,5,3,1,4,1,0,0,40,38,0
72,5,28865,5,4,2,13,0,4,1,0,0,14,38,0
23,3,186014,15,10,4,0,3,4,0,0,0,15,38,0
46,1,190961,11,9,5,0,4,2,0,0,0,40,38,0
29,3,236436,11,9,4,0,1,4,0,0,0,40,38,0
40,4,102226,11,9,2,3,0,4,1,0,0,40,38,0
25,3,104614,11,9,4,10,4,4,0,0,0,25,38,0
38,0,205852,11,9,4,0,1,4,1,0,0,45,38,1
56,3,176613,9,13,0,9,1,1,0,0,0,40,29,0
42,3,197344,11,9,2,7,0,4,1,0,0,45,38,0
19,3,124265,15,10,4,5,3,4,1,0,0,40,38,0
76,3,98695,15,10,0,0,1,4,0,0,0,20,38,0
17,3,225507,1,7,4,5,1,2,0,0,0,15,38,0
17,3,178953,2,8,4,11,3,4,0,0,0,20,38,0
50,3,257933,15,10,0,0,1,4,0,0,0,40,38,0
39,4,218184,6,5,2,3,0,4,1,0,1651,40,25,0
73,4,191540,9,13,2,11,0,4,1,0,0,50,38,1
19,3,426589,11,9,3,7,3,4,0,0,0,35,38,0
