fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
71.4584,45.3353,3.2689,0.2179,0.1237,-47.7088,-66.146,7.1861,20.7318,223.7231,0
12.2218,1.9866,2.1636,0.7515,0.468,33.2372,71.2776,4.1361,33.0802,96.7757,0
20.2452,7.0814,2.1354,0.8245,0.5591,-51.3099,-38.0807,12.8216,14.1093,230.2081,0
76.7127,20.0405,3.5143,0.1361,0.0593,18.5134,86.9303,4.9584,13.8871,156.1681,0
40.7884,13.1594,2.5785,0.458,0.2311,-30.4811,13.8802,2.2851,13.5127,231.9529,0
29.0157,7.7342,2.7747,0.4403,0.2691,-0.6016,-47.4384,41.6592,11.0894,229.5063,1
26.9279,19.3516,2.4525,0.4194,0.267,32.5444,52.3089,2.0915,5.3327,194.7804,1
40.542,26.7107,3.1273,0.2235,0.1356,-37.2842,94.9897,-27.2016,35.8994,245.9239,1
30.3239,30.7514,3.1222,0.212,0.0938,-0.4266,69.0127,13.6676,25.8861,237.9991,0
46.18,23.208,2.6788,0.3895,0.1787,29.8094,-59.5288,46.9568,56.9001,98.8792,1
10.1301,6.7061,2.028,0.8565,0.5549,-14.9999,-75.1225,7.6563,36.8566,97.8227,0
109.5802,54.3432,3.0708,0.2889,0.1653,32.5983,110.1612,43.3951,30.4372,361.1329,1
19.2568,7.0638,2.1611,0.5839,0.3128,58.9089,-0.3539,23.9578,80.7057,178.1629,0
121.8902,27.2504,2.9899,0.2469,0.1081,-37.4086,39.7856,-31.5287,17.5322,300.9201,1
37.0714,11.9859,2.2625,0.7155,0.4648,12.1327,31.4004,-4.5143,83.8861,268.8769,1
17.7556,6.2097,2.5237,0.6212,0.4095,66.5393,108.9496,-15.8646,74.6841,161.8377,0
26.3487,27.484,2.6162,0.3262,0.1735,31.9241,-3.5205,-3.4881,68.1115,60.0933,0
31.8599,16.0023,2.7636,0.3042,0.1836,54.1634,-5.7592,-26.3278,24.0199,175.5302,0
11.8213,3.4993,2.0854,0.77,0.4347,-89.801,42.2543,14.6482,9.8851,183.0116,0
70.2843,34.5297,3.1665,0.265,0.1666,-16.9134,-100.4264,42.7226,27.1475,119.0217,1
31.3636,12.9838,2.577,0.4131,0.2551,17.7631,-13.2514,2.125,0.1633,151.6371,0
34.2799,21.0282,3.2266,0.141,0.0663,36.6002,0.7021,11.2487,29.0775,59.2363,0
12.1813,9.4571,2.4524,0.4578,0.266,-61.0311,56.5361,30.2072,13.473,120.9532,0
45.819,11.9795,2.8383,0.3046,0.1472,44.515,20.9042,6.9987,16.8715,120.6958,1
116.8579,33.9683,3.2752,0.1208,0.0829,-75.3994,-22.0127,22.9823,2.1567,91.7114,0
30.0214,17.6051,2.4114,0.5142,0.2979,41.9711,44.7373,-3.5543,54.1225,222.7131,0
29.5326,10.6015,2.4413,0.4806,0.2569,23.2532,34.8693,-1.5008,8.9575,130.2623,0
69.3636,42.4371,2.8569,0.3771,0.2183,-34.2774,-65.5787,-10.1186,31.1016,239.1328,0
65.5269,23.0044,2.5584,0.3889,0.1829,-40.8079,25.02,-3.0979,20.9849,197.6125,0
71.3705,17.126,2.7611,0.5282,0.3073,12.2416,-67.585,-15.9465,77.8512,148.1046,0
34.8073,22.9066,3.1826,0.2453,0.1457,-17.6709,13.0944,31.7779,14.4339,161.496,1
45.2062,35.6798,3.1633,0.2215,0.1543,1.8303,58.8502,10.7453,49.1619,220.0309,0
16.7138,6.6593,2.3205,0.7104,0.4805,5.1239,19.6581,9.5847,4.7667,192.3551,1
40.2972,14.4723,2.7614,0.4221,0.2572,-2.8033,6.1737,-4.3982,3.8253,215.661,0
83.7992,23.8374,3.0779,0.1812,0.1023,-4.9258,31.8469,-46.041,18.7614,114.7601,1
49.6243,11.7772,2.783,0.3162,0.1891,-19.4516,1.3246,-9.406,10.7741,224.6125,0
116.1408,43.0639,3.7965,0.1284,0.0761,47.4577,-92.9725,2.8412,14.884,354.9405,0
31.9013,18.2384,2.8579,0.2839,0.1587,95.1034,-6.7524,9.2218,40.6582,89.1816,0
30.2584,7.3929,2.782,0.3742,0.1967,58.1928,91.1043,-40.3277,15.7717,280.5419,0
305.324,79.2804,4.0525,0.0681,0.0406,-202.5115,-13.7814,-29.7503,17.8099,337.4211,1
18.1093,1.4378,2.2505,0.583,0.3324,11.5918,110.0554,-6.4467,28.3221,60.8377,1
64.4629,18.7931,3.346,0.405,0.2873,-48.6735,12.4603,28.6727,37.5701,285.666,1
12.8511,2.5254,2.0751,0.8565,0.6021,-135.4553,-102.1029,-11.4942,2.6431,157.2257,0
16.4013,6.7321,2.7,0.4627,0.2695,41.4056,37.0738,9.5363,12.414,121.5034,1
63.039,16.0311,2.675,0.4113,0.202,-80.5858,25.5821,-7.1031,27.0138,309.7501,0
132.6507,36.0884,4.1759,0.1311,0.074,-55.7196,66.7328,-10.402,5.3945,242.3123,0
158.9284,48.1135,3.415,0.1885,0.1039,38.8246,45.2595,14.3581,56.996,357.1068,1
39.7784,16.5956,3.0189,0.2446,0.131,96.6869,46.6164,-2.2519,8.3272,244.8761,0
33.1156,12.8316,2.5321,0.3489,0.1717,81.3024,90.1568,-25.2725,31.3235,93.9359,0
26.8491,14.695,2.5583,0.3906,0.1909,-61.7337,98.4291,9.9581,0.602,137.6792,0
55.6514,30.4824,2.7374,0.2833,0.187,-0.9595,-38.1872,12.2895,36.6139,162.5638,0
17.6732,6.922,2.4463,0.4624,0.2137,47.8417,39.6082,0.6491,57.2795,90.0619,0
116.6598,39.0263,3.3597,0.1673,0.1018,-16.892,-28.7268,-15.7353,13.6261,279.349,1
100.1921,54.3159,3.5972,0.0861,0.0386,30.0127,-73.1375,17.3569,40.6045,189.7642,0
31.862,24.884,3.1723,0.1915,0.1063,71.9843,-43.8812,-0.2304,0.3751,164.672,0
55.5045,43.9404,2.9509,0.3939,0.2335,-81.0534,-22.4292,-2.6405,39.8522,219.1967,1
10.9409,6.3495,2.1425,0.6777,0.3273,-66.8084,74.9525,-3.8133,3.2346,94.0395,0
12.4265,10.7576,2.7993,0.3762,0.2252,50.5974,82.1971,-27.4491,3.4489,84.8254,0
62.3203,19.1091,2.9265,0.4166,0.2463,-30.4302,-28.0911,26.6623,31.0267,227.0253,1
11.4727,8.2524,2.2768,0.5786,0.3185,-32.936,18.6611,7.2063,72.9589,83.5227,1
14.4157,4.6641,2.2666,0.6734,0.3976,57.6923,24.0643,-28.6221,55.429,173.2022,0
36.0975,29.1585,3.2945,0.2395,0.1135,-4.4415,66.0176,11.8731,35.6332,219.3032,0
48.6279,28.4719,2.8078,0.2179,0.129,-38.1209,-15.3394,9.5834,39.4223,153.6107,0
48.097,14.8925,2.6468,0.4565,0.2457,-29.3349,-87.8847,-5.6104,73.9815,104.1223,1
102.3324,34.2464,3.2326,0.1696,0.1139,47.3032,7.9688,-33.1948,1.5532,216.5072,0
133.3379,46.7044,3.9936,0.141,0.0849,-60.9703,-74.2741,1.3652,42.9858,195.8477,1
46.3856,36.008,2.4898,0.3814,0.1923,-86.7885,-62.9517,-5.535,73.3585,66.0699,1
28.7874,24.2175,2.8158,0.2463,0.1123,120.9261,114.8904,10.5411,15.2208,199.8662,0
73.0215,22.1894,2.9971,0.1643,0.0866,-1.5844,7.7131,-43.2829,48.4571,142.9893,1
24.6124,7.6125,2.3933,0.5962,0.3795,-90.7035,-60.1128,54.2755,71.2291,153.3637,1
64.7909,27.9118,2.5815,0.4283,0.2212,-17.0836,-114.8745,8.1256,82.83,184.695,0
12.0933,3.0683,2.1685,0.7287,0.4419,32.6346,-40.079,-15.6759,0.1277,138.7482,0
57.2329,33.7559,3.4145,0.1984,0.1157,-29.5427,38.2517,-8.924,5.225,197.2873,1
36.4543,9.3942,2.1838,0.7116,0.4657,-52.5133,-70.5119,45.1508,37.2763,253.7284,0
23.6061,14.7379,2.8527,0.27,0.1767,-77.6631,4.8354,-20.1317,1.0754,176.8428,0
23.3008,18.747,2.3653,0.487,0.2716,-35.1014,-37.7925,23.3957,19.318,140.229,0
17.3331,14.9514,2.8311,0.2633,0.145,20.7196,96.5704,14.109,2.3888,141.1883,0
90.7888,33.3429,3.7502,0.1036,0.0584,-58.8895,-90.15,58.3535,12.5145,288.6997,1
71.4612,22.5185,2.6247,0.3512,0.194,-22.2579,-43.8036,31.8416,19.86,86.8686,0
19.5643,8.1344,2.3599,0.4461,0.2428,-93.0017,36.5686,18.7605,30.5373,188.13,0
76.613,24.1648,3.0295,0.2725,0.1448,-66.0479,13.1296,19.6206,4.7831,248.8958,0
108.2842,35.5259,2.7323,0.2309,0.1201,59.5622,-105.6533,-3.8472,85.1698,104.0335,0
42.5156,22.3987,3.0583,0.3618,0.2006,49.2953,83.2509,-8.0309,3.5731,227.4703,0
108.2928,34.5068,2.849,0.2938,0.1778,29.0328,66.3987,17.1738,27.0662,268.8438,0
47.613,39.6053,2.978,0.2303,0.1143,8.3887,-18.7326,1.6414,54.8724,291.7757,1
26.7468,17.534,2.7602,0.3736,0.1836,-30.0028,8.984,45.718,29.0023,162.157,0
